id,type
melanoma_3240,benign
melanoma_2758,benign
melanoma_730,benign
melanoma_4578,benign
melanoma_407,benign
melanoma_2909,benign
melanoma_7158,malignant
melanoma_6466,malignant
melanoma_2644,benign
melanoma_1326,benign
melanoma_8848,malignant
melanoma_1192,benign
melanoma_1972,benign
melanoma_3242,benign
melanoma_3067,benign
melanoma_3983,benign
melanoma_7750,malignant
melanoma_5075,malignant
melanoma_3921,benign
melanoma_6379,malignant
melanoma_4243,benign
melanoma_5250,malignant
melanoma_3270,benign
melanoma_6097,malignant
melanoma_3781,benign
melanoma_6017,malignant
melanoma_9263,malignant
melanoma_1236,benign
melanoma_5487,malignant
melanoma_4528,benign
melanoma_8973,malignant
melanoma_3160,benign
melanoma_534,benign
melanoma_4110,benign
melanoma_6953,malignant
melanoma_2864,benign
melanoma_272,benign
melanoma_791,benign
melanoma_1494,benign
melanoma_1459,benign
melanoma_3340,benign
melanoma_917,benign
melanoma_6809,malignant
melanoma_458,benign
melanoma_9434,malignant
melanoma_4891,benign
melanoma_360,benign
melanoma_8385,malignant
melanoma_5353,malignant
melanoma_1376,benign
melanoma_6359,malignant
melanoma_5898,malignant
melanoma_2052,benign
melanoma_6217,malignant
melanoma_1970,benign
melanoma_7266,malignant
melanoma_8975,malignant
melanoma_2881,benign
melanoma_871,benign
melanoma_8111,malignant
melanoma_2845,benign
melanoma_426,benign
melanoma_3296,benign
melanoma_7183,malignant
melanoma_5037,malignant
melanoma_2043,benign
melanoma_3411,benign
melanoma_584,benign
melanoma_1979,benign
melanoma_1949,benign
melanoma_8561,malignant
melanoma_4451,benign
melanoma_57,benign
melanoma_1933,benign
melanoma_2681,benign
melanoma_8269,malignant
melanoma_6377,malignant
melanoma_8116,malignant
melanoma_6010,malignant
melanoma_7193,malignant
melanoma_7390,malignant
melanoma_3081,benign
melanoma_8490,malignant
melanoma_4694,benign
melanoma_9269,malignant
melanoma_7669,malignant
melanoma_8530,malignant
melanoma_1849,benign
melanoma_467,benign
melanoma_3135,benign
melanoma_5305,malignant
melanoma_5981,malignant
melanoma_4120,benign
melanoma_825,benign
melanoma_1104,benign
melanoma_6003,malignant
melanoma_2244,benign
melanoma_8338,malignant
melanoma_8346,malignant
melanoma_1027,benign
