id,type
melanoma_9853,benign
melanoma_9913,malignant
melanoma_9894,benign
melanoma_10145,malignant
melanoma_9738,benign
melanoma_9829,malignant
melanoma_10372,malignant
melanoma_10461,malignant
melanoma_9867,malignant
melanoma_10023,benign
melanoma_10378,malignant
melanoma_10343,malignant
melanoma_9965,benign
melanoma_9721,benign
melanoma_9896,benign
melanoma_10604,benign
melanoma_10152,benign
melanoma_9746,benign
melanoma_10369,malignant
melanoma_10146,benign
melanoma_9617,benign
melanoma_9664,benign
melanoma_9685,benign
melanoma_10482,malignant
melanoma_9652,benign
melanoma_9727,benign
melanoma_10364,malignant
melanoma_10008,malignant
melanoma_9676,benign
melanoma_9667,benign
melanoma_10339,malignant
melanoma_10582,benign
melanoma_10272,malignant
melanoma_10360,malignant
melanoma_9728,benign
melanoma_10003,benign
melanoma_9996,benign
melanoma_10592,benign
melanoma_9605,benign
melanoma_9792,benign
melanoma_10240,malignant
melanoma_9911,benign
melanoma_10488,malignant
melanoma_10419,malignant
melanoma_9804,benign
melanoma_9756,malignant
melanoma_10460,malignant
melanoma_10341,malignant
melanoma_9975,benign
melanoma_9930,malignant
melanoma_10007,malignant
melanoma_9753,benign
melanoma_9793,benign
melanoma_9660,benign
melanoma_10601,malignant
melanoma_10517,malignant
melanoma_10413,malignant
melanoma_9874,benign
melanoma_10118,malignant
melanoma_10050,malignant
melanoma_9620,benign
melanoma_10497,malignant
melanoma_10298,malignant
melanoma_9671,benign
melanoma_9640,benign
melanoma_10381,malignant
melanoma_10283,malignant
melanoma_10473,malignant
melanoma_9720,benign
melanoma_10223,malignant
melanoma_9726,benign
melanoma_10532,malignant
melanoma_9790,benign
melanoma_10400,malignant
melanoma_10016,benign
melanoma_10397,malignant
melanoma_9983,benign
melanoma_9675,benign
melanoma_10392,malignant
melanoma_9742,benign
melanoma_10367,malignant
melanoma_10351,malignant
melanoma_10319,malignant
melanoma_10357,malignant
melanoma_10424,malignant
melanoma_10039,benign
melanoma_10274,malignant
melanoma_9835,benign
melanoma_10596,malignant
melanoma_9787,benign
melanoma_10187,malignant
melanoma_10264,malignant
melanoma_10429,malignant
melanoma_9906,benign
melanoma_9723,benign
melanoma_10135,benign
melanoma_10572,benign
melanoma_10268,malignant
melanoma_9813,benign
melanoma_10259,malignant
melanoma_10084,benign
melanoma_10428,malignant
melanoma_10217,malignant
melanoma_10350,malignant
melanoma_9618,benign
melanoma_10323,malignant
melanoma_10132,benign
melanoma_10508,malignant
